SampleID,PlateNo,Species,ACE2_genotype,Locality,Latitude,Longitude,GenePopID,GenePop
ANAST001,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST001,",002002
ANAST002,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST002,",002002
ANAST003,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST003,",002002
ANAST004,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST004,",002002
ANAST005,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST005,",002002
ANAST006,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST006,",002002
ANAST007,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST007,",002002
ANAST008,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST008,",002002
ANAST009,#04,NA,NA,"Anastasia, FL",29.903108,-81.400743,"ANAST009,",000000
ANAST010,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST010,",002002
ANAST011,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST011,",002002
ANAST012,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST012,",002002
ANAST013,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST013,",002002
ANAST014,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST014,",002002
ANAST015,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST015,",002002
ANAST016,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST016,",002002
ANAST017,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST017,",002002
ANAST018,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST018,",002002
ANAST019,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST019,",002002
ANAST020,#04,Culex quinquefasciatus,Cxq/Cxq,"Anastasia, FL",29.903108,-81.400743,"ANAST020,",002002
BARMA001,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA001,",001001
BARMA002,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA002,",001001
BARMA003,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA003,",001001
BARMA004,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA004,",001001
BARMA005,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA005,",001001
BARMA006,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA006,",001001
BARMA007,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA007,",001001
BARMA008,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA008,",001001
BARMA009,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA009,",001001
BARMA010,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA010,",001001
BARMA011,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA011,",001001
BARMA012,#02,Culex pipiens pipiens,Cxp/Cxp,"Barnstable County, MA",41.793615,-69.994266,"BARMA012,",001001
BYRWA001,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA001,",001001
BYRWA002,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA002,",001001
BYRWA003,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA003,",001001
BYRWA004,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA004,",001001
BYRWA005,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA005,",001001
BYRWA006,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA006,",001001
BYRWA007,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA007,",001001
BYRWA008,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA008,",001001
BYRWA009,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA009,",001001
BYRWA010,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA010,",001001
BYRWA011,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA011,",001001
BYRWA012,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA012,",001001
BYRWA013,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA013,",001001
BYRWA014,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA014,",001001
BYRWA015,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA015,",001001
BYRWA016,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA016,",001001
BYRWA017,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA017,",001001
BYRWA018,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA018,",001001
BYRWA019,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA019,",001001
BYRWA020,#01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA (Big Hill at Byron Pond)",46.193,-119.899,"BYRWA020,",001001
BYRWA021,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA021,",001001
BYRWA022,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA022,",001001
BYRWA023,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA023,",001001
BYRWA024,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA024,",001001
BYRWA025,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA025,",001001
BYRWA026,#03,NA,NA,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA026,",000000
BYRWA027,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA027,",001001
BYRWA028,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA028,",001001
BYRWA029,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA029,",001001
BYRWA030,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA030,",001001
BYRWA031,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA031,",001001
BYRWA032,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA032,",001001
BYRWA033,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA033,",001001
BYRWA034,#03,hybrid,Cxp/Cxq,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA034,",001002
BYRWA035,#03,hybrid,Cxp/Cxq,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA035,",001002
BYRWA036,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA036,",001001
BYRWA037,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA037,",001001
BYRWA038,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA038,",001001
BYRWA039,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA039,",001001
BYRWA040,#03,Culex pipiens pipiens,Cxp/Cxp,"Benton, WA (Witch Hut at Bryon Pond)",46.192,-119.897,"BYRWA040,",001001
COSTX021,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX021,",002002
COSTX022,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX022,",002002
COSTX023,#04,hybrid,Cxp/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX023,",001002
COSTX024,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX024,",002002
COSTX025,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX025,",002002
COSTX026,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX026,",002002
COSTX027,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX027,",002002
COSTX028,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX028,",002002
COSTX029,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX029,",002002
COSTX030,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX030,",002002
COSTX031,#04,hybrid,Cxp/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX031,",001002
COSTX032,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX032,",002002
COSTX033,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX033,",002002
COSTX034,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX034,",002002
COSTX035,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX035,",002002
COSTX036,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX036,",002002
COSTX037,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX037,",002002
COSTX038,#04,hybrid,Cxp/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX038,",001002
COSTX039,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX039,",002002
COSTX040,#04,Culex quinquefasciatus,Cxq/Cxq,"College Station, TX",30.60044,-96.26893,"COSTX040,",002002
HUNNJ001,#04,NA,NA,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ001,",000000
HUNNJ002,#04,hybrid,Cxp/Cxq,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ002,",001002
HUNNJ003,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ003,",001001
HUNNJ004,#04,Culex quinquefasciatus,Cxq/Cxq,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ004,",002002
HUNNJ005,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ005,",001001
HUNNJ006,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ006,",001001
HUNNJ007,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ007,",001001
HUNNJ008,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ008,",001001
HUNNJ009,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ009,",001001
HUNNJ010,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ010,",001001
HUNNJ011,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ011,",001001
HUNNJ012,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ012,",001001
HUNNJ013,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ013,",001001
HUNNJ014,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ014,",001001
HUNNJ015,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ015,",001001
HUNNJ016,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ016,",001001
HUNNJ017,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ017,",001001
HUNNJ018,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ018,",001001
HUNNJ019,#04,hybrid,Cxp/Cxq,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ019,",001002
HUNNJ020,#04,Culex pipiens pipiens,Cxp/Cxp,"Hunterdon, NJ",40.539588,-74.834616,"HUNNJ020,",001001
LINCA001,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA001,",001001
LINCA002,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA002,",001001
LINCA003,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA003,",001001
LINCA004,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA004,",001001
LINCA005,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA005,",001001
LINCA006,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA006,",001001
LINCA007,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA007,",001001
LINCA008,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA008,",001001
LINCA009,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA009,",001001
LINCA010,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA010,",001001
LINCA011,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA011,",001001
LINCA012,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA012,",001001
LINCA013,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA013,",001001
LINCA014,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA014,",001001
LINCA015,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA015,",001001
LINCA016,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA016,",001001
LINCA017,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA017,",001001
LINCA018,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA018,",001001
LINCA019,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA019,",001001
LINCA020,#01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Sierra Pacific Logdecks)",38.87605,-121.29683,"LINCA020,",001001
LINCA021,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA021,",001001
LINCA022,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA022,",001001
LINCA023,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA023,",001001
LINCA024,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA024,",001001
LINCA025,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA025,",001001
LINCA026,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA026,",001001
LINCA027,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA027,",001001
LINCA028,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA028,",001001
LINCA029,#03,hybrid,Cxp/Cxq,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA029,",001002
LINCA030,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA030,",001001
LINCA031,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA031,",001001
LINCA032,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA032,",001001
LINCA033,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA033,",001001
LINCA034,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA034,",001001
LINCA035,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA035,",001001
LINCA036,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA036,",001001
LINCA037,#03,hybrid,Cxp/Cxq,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA037,",001002
LINCA038,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA038,",001001
LINCA039,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA039,",001001
LINCA040,#03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA (Placer County)",38.904465,-121.306331,"LINCA040,",001001
MARAZ001,#02,Culex quinquefasciatus,Cxq/Cxq,"Maricopa, AZ",33.0736167,-111.9737667,"MARAZ001,",002002
